Sprint	Sprint Planning	Sprint Start Date	Dev Done Date	Sprit End Date	Deployment	FixVersion	Note
2.55	Friday, 22 November, 2024	Monday, 25 November, 2024	Wednesday, 27 November, 2024	-	Monday, 2 December, 2024	3.97	
2.55	Friday, 29 November, 2024	Monday, 2 December, 2024	Wednesday, 4 December, 2024	-	Monday, 9 December, 2024	3.98	
2.55	Friday, 6 December, 2024	Monday, 9 December, 2024	Wednesday, 11 December, 2024	-	Monday, 16 December, 2024	3.99	
2.55	Friday, 8 November, 2024	Monday, 18 November, 2024	Friday, 13 December, 2024	Friday, 13 December, 2024	Monday, 23 December, 2024	4.00	
2.56	Friday, 13 December, 2024	Monday, 16 December, 2024	Wednesday, 18 December, 2024	-	Monday, 23 December, 2024	4.00	
2.56	Friday, 20 December, 2024	Monday, 23 December, 2024	Wednesday, 25 December, 2024	-	Monday, 30 December, 2024	4.01	
2.56	Friday, 27 December, 2024	Monday, 30 December, 2024	Wednesday, 1 January, 2025	-	Monday, 6 January, 2025	4.02	
2.56	Friday, 3 January, 2025	Monday, 6 January, 2025	Wednesday, 8 January, 2025	-	Monday, 13 January, 2025	4.03	
2.56	Friday, 6 December, 2024	Monday, 16 December, 2024	Friday, 10 January, 2025	Friday, 10 January, 2025	Monday, 20 January, 2025	4.04	
2.57	Friday, 10 January, 2025	Monday, 13 January, 2025	Wednesday, 15 January, 2025	-	Monday, 20 January, 2025	4.04	
2.57	Friday, 17 January, 2025	Monday, 20 January, 2025	Wednesday, 22 January, 2025	-	Monday, 27 January, 2025	4.05	
2.57	Friday, 24 January, 2025	Monday, 27 January, 2025	Wednesday, 29 January, 2025	-	Monday, 3 February, 2025	4.06	
2.57	Friday, 31 January, 2025	Monday, 3 February, 2025	Wednesday, 5 February, 2025	-	Monday, 10 February, 2025	4.07	
2.57	Friday, 3 January, 2025	Monday, 13 January, 2025	Friday, 7 February, 2025	Friday, 7 February, 2025	Monday, 17 February, 2025	4.08	
2.58	Friday, 14 February, 2025	Monday, 17 February, 2025	Wednesday, 19 February, 2025	-	Monday, 24 February, 2025	4.08-performance	Everything onwards is moved by one week from here; giving entire week for performance related tickets
2.58	Friday, 21 February, 2025	Monday, 24 February, 2025	Wednesday, 26 February, 2025	-	Monday, 3 March, 2025	4.09	
2.58	Friday, 28 February, 2025	Monday, 3 March, 2025	Wednesday, 5 March, 2025	-	Monday, 10 March, 2025	4.10	
2.58	Friday, 7 March, 2025	Monday, 10 March, 2025	Wednesday, 12 March, 2025	-	Monday, 17 March, 2025	4.11	
2.58	Friday, 7 February, 2025	Monday, 17 February, 2025	Friday, 14 March, 2025	Friday, 14 March, 2025	Monday, 24 March, 2025	4.12	
2.59	Friday, 14 March, 2025	Monday, 17 March, 2025	Wednesday, 19 March, 2025	-	Monday, 24 March, 2025	4.12	
2.59	Friday, 21 March, 2025	Monday, 24 March, 2025	Wednesday, 26 March, 2025	-	Monday, 31 March, 2025	4.13	
2.59	Friday, 28 March, 2025	Monday, 31 March, 2025	Wednesday, 2 April, 2025	-	Monday, 7 April, 2025	4.14	
2.59	Friday, 4 April, 2025	Monday, 7 April, 2025	Wednesday, 9 April, 2025	-	Monday, 14 April, 2025	4.15	
2.59	Friday, 14 March, 2025	Monday, 24 March, 2025	Friday, 18 April, 2025	Friday, 18 April, 2025	Monday, 28 April, 2025	4.16	Increased by 1 week due to performance, 4.12 extension
2.60	Friday, 18 April, 2025	Monday, 21 April, 2025	Wednesday, 23 April, 2025	-	Monday, 28 April, 2025	4.16	
2.60	Friday, 25 April, 2025	Monday, 28 April, 2025	Wednesday, 30 April, 2025	-	Monday, 5 May, 2025	4.17	
2.60	Friday, 2 May, 2025	Monday, 5 May, 2025	Wednesday, 7 May, 2025	-	Monday, 12 May, 2025	4.18	
2.60	Friday, 9 May, 2025	Monday, 12 May, 2025	Wednesday, 14 May, 2025	-	Monday, 19 May, 2025	4.19	
